,0
0,19
1,7
2,4
3,15
4,12
5,13
6,10
7,0
8,19
9,2
10,6
11,1
12,8
13,18
14,8
15,0
16,2
17,3
18,14
19,12
20,14
21,10
22,0
23,5
24,18
25,4
26,16
27,15
28,1
29,7
30,1
31,14
32,18
33,2
34,5
35,8
36,15
37,14
38,1
39,6
40,15
41,10
42,17
43,1
44,2
45,2
46,18
47,12
48,9
49,6
50,11
51,18
52,9
53,10
54,1
55,13
56,12
57,10
58,19
59,7
60,5
61,2
62,6
63,6
64,14
65,4
66,6
67,17
68,16
69,11
70,7
71,18
72,9
73,11
74,4
75,9
76,0
77,15
78,9
79,5
80,16
81,18
82,17
83,11
84,15
85,15
86,7
87,5
88,18
89,2
90,19
91,9
92,17
93,0
94,8
95,18
96,2
97,18
98,7
99,4
100,13
101,19
102,18
103,5
104,10
105,2
106,8
107,12
108,19
109,7
110,0
111,15
112,1
113,18
114,15
115,6
116,1
117,14
118,12
119,6
120,15
121,15
122,5
123,11
124,17
125,6
126,3
127,11
128,1
129,1
130,14
131,15
132,14
133,15
134,0
135,12
136,8
137,10
138,0
139,0
140,2
141,6
142,0
143,9
144,16
145,7
146,0
147,5
148,10
149,9
150,12
151,19
152,9
153,12
154,5
155,7
156,4
157,5
158,18
159,8
160,13
161,6
162,7
163,5
164,19
165,10
166,19
167,9
168,6
169,6
170,17
171,6
172,9
173,10
174,19
175,15
176,15
177,10
178,2
179,12
180,8
181,0
182,10
183,17
184,11
185,15
186,6
187,2
188,6
189,13
190,19
191,11
192,11
193,2
194,16
195,15
196,17
197,15
198,17
199,9
200,12
201,15
202,16
203,9
204,7
205,14
206,18
207,0
208,6
209,11
210,5
211,0
212,18
213,4
214,0
215,18
216,11
217,12
218,9
219,13
220,10
221,10
222,9
223,2
224,18
225,2
226,12
227,0
228,4
229,17
230,7
231,11
232,0
233,6
234,4
235,18
236,0
237,2
238,11
239,15
240,7
241,5
242,15
243,4
244,16
245,9
246,14
247,8
248,12
249,19
250,10
251,19
252,12
253,10
254,14
255,0
256,9
257,0
258,13
259,17
260,5
261,10
262,5
263,7
264,16
265,12
266,15
267,1
268,18
269,15
270,15
271,7
272,10
273,11
274,10
275,5
276,17
277,10
278,1
279,1
280,17
281,2
282,19
283,13
284,0
285,2
286,9
287,15
288,5
289,7
290,18
291,0
292,0
293,4
294,17
295,10
296,0
297,5
298,14
299,4
300,18
301,14
302,19
303,0
304,8
305,12
306,12
307,17
308,0
309,5
310,2
311,0
312,19
313,2
314,6
315,0
316,17
317,11
318,12
319,9
320,14
321,2
322,14
323,7
324,16
325,4
326,9
327,12
328,1
329,1
330,12
331,2
332,12
333,2
334,0
335,14
336,4
337,18
338,19
339,1
340,1
341,12
342,13
343,0
344,7
345,6
346,6
347,13
348,18
349,13
350,0
351,11
352,14
353,13
354,11
355,1
356,4
357,9
358,17
359,9
360,10
361,4
362,1
363,11
364,0
365,4
366,4
367,19
368,5
369,8
370,9
371,18
372,19
373,12
374,11
375,2
376,1
377,0
378,14
379,7
380,16
381,10
382,8
383,6
384,10
385,7
386,14
387,0
388,10
389,15
390,4
391,15
392,16
393,11
394,14
395,12
396,9
397,1
398,13
399,4
400,9
401,12
402,14
403,14
404,6
405,14
406,19
407,19
408,2
409,7
410,5
411,10
412,16
413,9
414,13
415,1
416,19
417,4
418,8
419,12
420,16
421,2
422,9
423,16
424,4
425,11
426,4
427,1
428,19
429,17
430,12
431,19
432,7
433,10
434,6
435,10
436,4
437,14
438,13
439,17
440,3
441,4
442,2
443,15
444,1
445,6
446,5
447,9
448,9
449,4
450,13
451,16
452,16
453,5
454,19
455,0
456,12
457,5
458,17
459,6
460,0
461,18
462,0
463,13
464,0
465,14
466,15
467,1
468,6
469,12
470,0
471,10
472,0
473,8
474,18
475,12
476,15
477,14
478,7
479,14
480,14
481,0
482,2
483,10
484,14
485,11
486,9
487,1
488,6
489,19
490,2
491,2
492,1
493,17
494,0
495,8
496,15
497,15
498,4
499,10
500,14
501,8
502,15
503,18
504,6
505,0
506,9
507,8
508,11
509,4
510,14
511,12
512,16
513,19
514,18
515,19
516,8
517,11
518,13
519,16
520,7
521,11
522,15
523,7
524,0
525,6
526,4
527,0
528,12
529,19
530,19
531,19
532,17
533,10
534,18
535,17
536,1
537,0
538,19
539,1
540,14
541,11
542,15
543,0
544,19
545,8
546,1
547,10
548,4
549,18
550,6
551,7
552,19
553,10
554,9
555,12
556,16
557,0
558,10
559,11
560,10
561,7
562,10
563,1
564,8
565,9
566,12
567,4
568,13
569,7
570,6
571,15
572,18
573,1
574,6
575,7
576,18
577,0
578,18
579,12
580,8
581,11
582,14
583,9
584,4
585,0
586,4
587,6
588,7
589,0
590,19
591,4
592,13
593,5
594,5
595,7
596,18
597,19
598,16
599,15
600,0
601,2
602,8
603,1
604,4
605,17
606,16
607,6
608,13
609,1
610,8
611,7
612,9
613,6
614,2
615,5
616,5
617,7
618,9
619,18
620,13
621,8
622,18
623,5
624,6
625,7
626,18
627,5
628,17
629,6
630,5
631,15
632,9
633,1
634,9
635,1
636,6
637,2
638,10
639,8
640,2
641,14
642,19
643,15
644,18
645,17
646,15
647,15
648,5
649,6
650,19
651,10
652,18
653,7
654,10
655,16
656,6
657,6
658,2
659,19
660,12
661,11
662,11
663,14
664,19
665,3
666,2
667,11
668,6
669,7
670,16
671,2
672,0
673,11
674,9
675,10
676,0
677,18
678,5
679,4
680,6
681,1
682,4
683,13
684,19
685,6
686,13
687,2
688,9
689,4
690,14
691,2
692,10
693,0
694,1
695,9
696,17
697,15
698,12
699,6
700,6
701,8
702,9
703,6
704,10
705,17
706,8
707,17
708,12
709,17
710,18
711,5
712,17
713,14
714,5
715,11
716,0
717,9
718,4
719,15
720,8
721,18
722,4
723,13
724,9
725,17
726,17
727,7
728,12
729,16
730,12
731,15
732,14
733,13
734,10
735,19
736,11
737,12
738,10
739,16
740,13
741,2
742,5
743,2
744,11
745,11
746,4
747,1
748,2
749,18
750,18
751,5
752,0
753,2
754,8
755,1
756,0
757,4
758,1
759,15
760,13
761,19
762,12
763,13
764,17
765,14
766,15
767,17
768,5
769,6
770,15
771,15
772,15
773,4
774,2
775,19
776,9
777,16
778,15
779,0
780,9
781,11
782,16
783,1
784,1
785,0
786,17
787,13
788,10
789,13
790,7
791,0
792,7
793,14
794,2
795,9
796,12
797,18
798,4
799,5
800,4
801,0
802,15
803,14
804,1
805,7
806,10
807,11
808,7
809,2
810,19
811,8
812,1
813,7
814,7
815,17
816,17
817,2
818,1
819,15
820,15
821,15
822,6
823,8
824,14
825,2
826,13
827,11
828,1
829,15
830,15
831,16
832,17
833,6
834,2
835,9
836,5
837,9
838,7
839,0
840,15
841,2
842,6
843,10
844,10
845,12
846,0
847,10
848,15
849,14
850,10
851,6
852,5
853,12
854,5
855,8
856,4
857,15
858,4
859,8
860,18
861,13
862,4
863,9
864,19
865,12
866,15
867,9
868,15
869,10
870,2
871,6
872,11
873,14
874,14
875,12
876,14
877,17
878,10
879,15
880,5
881,6
882,1
883,19
884,16
885,9
886,1
887,12
888,13
889,7
890,12
891,2
892,19
893,9
894,10
895,17
896,9
897,4
898,4
899,17
900,17
901,19
902,19
903,1
904,10
905,9
906,9
907,2
908,3
909,9
910,0
911,10
912,7
913,0
914,13
915,0
916,18
917,5
918,19
919,5
920,7
921,11
922,7
923,4
924,16
925,12
926,4
927,17
928,14
929,0
930,6
931,9
932,6
933,10
934,5
935,8
936,9
937,6
938,17
939,11
940,7
941,5
942,17
943,5
944,17
945,8
946,5
947,7
948,0
949,18
950,2
951,17
952,2
953,1
954,4
955,12
956,18
957,14
958,5
959,19
960,5
961,12
962,9
963,9
964,9
965,5
966,12
967,13
968,13
969,1
970,9
971,19
972,0
973,7
974,18
975,8
976,18
977,16
978,12
979,19
980,2
981,1
982,15
983,15
984,4
985,9
986,19
987,16
988,9
989,15
990,18
991,4
992,13
993,17
994,0
995,15
996,10
997,2
998,17
999,18
1000,14
1001,0
1002,9
1003,17
1004,5
1005,17
1006,17
1007,5
1008,15
1009,13
1010,6
1011,15
1012,19
1013,14
1014,10
1015,11
1016,11
1017,1
1018,6
1019,9
1020,6
1021,11
1022,4
1023,10
1024,5
1025,16
1026,19
1027,2
1028,10
1029,10
1030,11
1031,5
1032,17
1033,17
1034,15
1035,0
1036,9
1037,6
1038,16
1039,1
1040,7
1041,0
1042,3
1043,12
1044,7
1045,3
1046,19
1047,13
1048,0
1049,2
1050,13
1051,2
1052,17
1053,9
1054,16
1055,15
1056,6
1057,11
1058,17
1059,17
1060,7
1061,10
